,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
113,Calvin Natt,SF,27,POR,5,0.0,39.0,7.4,14.4,0.514,0.0,0.6,0.0,7.4,13.8,0.536,0.514,5.0,7.2,0.694,2.2,5.4,7.6,1.8,1.2,0.2,2.0,2.0,19.8
114,Ed Nealy,PF,23,KCK,2,0.0,9.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.5,0.5,3.0
115,Kurt Nimphius,C,25,DAL,10,0.0,17.8,1.4,3.3,0.424,0.0,0.0,0.0,1.4,3.3,0.424,0.424,1.4,1.7,0.824,2.0,3.3,5.3,1.3,0.0,1.4,0.9,2.4,4.2
116,Audie Norris,C,23,POR,5,0.0,10.4,1.2,2.0,0.6,0.0,0.0,0.0,1.2,2.0,0.6,0.6,1.0,1.6,0.625,1.2,2.0,3.2,0.8,0.2,0.2,1.0,2.6,3.4
117,Mike O'Koren,SF,25,NJN,11,0.0,19.6,2.3,5.4,0.424,0.0,0.1,0.0,2.3,5.3,0.431,0.424,0.5,0.5,0.833,1.6,1.5,3.2,1.9,0.3,0.4,1.1,3.4,5.0
118,Mark Olberding,PF,27,KCK,3,0.0,20.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,5.0,0.4,0.4,2.7,4.7,0.571,1.3,3.7,5.0,2.0,0.0,0.0,1.3,2.0,6.7
119,Louis Orr,SF,25,NYK,12,0.0,19.1,2.4,5.8,0.414,0.0,0.0,0.0,2.4,5.8,0.414,0.414,1.3,1.6,0.789,1.8,2.3,4.2,0.5,0.3,0.1,0.8,2.7,6.1
120,Robert Parish*,C,30,BOS,23,0.0,37.8,6.0,12.7,0.478,0.0,0.0,0.0,6.0,12.7,0.478,0.478,2.8,4.3,0.646,3.3,7.5,10.8,1.2,1.0,1.8,2.0,4.3,14.9
121,Billy Paultz,C,35,ATL,2,0.0,3.5,0.5,1.5,0.333,0.0,0.0,0.0,0.5,1.5,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,Jim Paxson,SG,26,POR,5,0.0,34.4,8.0,15.6,0.513,0.2,1.0,0.2,7.8,14.6,0.534,0.519,6.6,8.0,0.825,2.2,1.6,3.8,2.4,0.4,0.0,1.8,2.6,22.8
123,Roger Phegley,SG,27,DAL,1,0.0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0
124,Charles Pittman,PF,25,PHO,17,0.0,14.9,1.6,3.0,0.549,0.0,0.1,0.0,1.6,2.9,0.56,0.549,1.1,1.7,0.621,1.5,2.3,3.8,0.7,0.3,0.3,0.9,1.8,4.4
125,Paul Pressey,SG,25,MIL,16,0.0,21.9,3.3,6.3,0.52,0.0,0.2,0.0,3.3,6.1,0.536,0.52,2.4,3.5,0.679,1.1,2.6,3.7,3.1,1.4,0.6,2.4,3.3,8.9
